Year,Month,Unnamed: 0,Predicted
2011,1,7.0,0.2
2011,3,36.5,0.09090909090909091
2011,4,66.5,0.1875
2011,5,86.0,0.08695652173913043
2011,6,106.0,0.11764705882352941
2011,7,126.0,0.17391304347826086
2011,8,150.44,0.08
2011,9,168.15384615384616,0.07692307692307693
2011,10,179.0,0.0
2012,1,186.0,0.42857142857142855
2012,3,202.5,0.23076923076923078
2012,4,224.5,0.3888888888888889
2012,5,244.0,0.14285714285714285
2012,6,263.0,0.17647058823529413
2012,7,286.0,0.10344827586206896
2012,8,312.3181818181818,0.09090909090909091
2012,9,327.0,0.16666666666666666
2012,10,337.5,0.0
2013,1,344.0,0.5714285714285714
2013,3,361.0,0.2222222222222222
2013,4,383.0,0.23529411764705882
2013,5,401.5,0.25
2013,6,422.0,0.047619047619047616
2013,7,444.6666666666667,0.08333333333333333
2013,8,467.0,0.05
2013,9,484.1764705882353,0.058823529411764705
2013,10,497.0,0.0
2014,1,504.0,0.2857142857142857
2014,3,521.0,0.1111111111111111
2014,4,541.0,0.3076923076923077
2014,5,559.5,0.16666666666666666
2014,6,582.0,0.0
2014,7,603.5,0.045454545454545456
2014,8,628.9629629629629,0.18518518518518517
2014,9,647.2666666666667,0.2
2014,10,660.0,0.14285714285714285
2015,1,667.0,0.5714285714285714
2015,3,683.5,0.2692307692307692
2015,4,703.5,0.35714285714285715
2015,5,723.0,0.04
2015,6,744.0,0.17647058823529413
2015,7,763.0,0.0
2015,8,787.9285714285714,0.10714285714285714
2015,9,807.6428571428571,0.07142857142857142
2015,10,816.0,0.0
2016,1,820.0,0.42857142857142855
2016,3,836.0,0.2
2016,4,856.5,0.25
2016,5,876.5,0.08333333333333333
2016,6,897.5,0.2222222222222222
2016,7,921.5,0.1
2016,8,944.3333333333334,0.0
2016,9,957.4,0.15
2016,10,969.0,0.0
2017,1,973.5,0.625
2017,2,980.5,0.3333333333333333
2017,3,997.5,0.17857142857142858
2017,4,1020.5,0.1111111111111111
2017,5,1045.0,0.0967741935483871
2017,6,1070.0,0.10526315789473684
2017,7,1093.1851851851852,0.18518518518518517
2017,8,1120.076923076923,0.07692307692307693
2017,9,1136.8333333333333,0.16666666666666666
2017,10,1152.0,0.3333333333333333
2018,1,1163.5,0.375
2018,2,1171.0,0.14285714285714285
2018,3,1189.0,0.10344827586206896
2018,4,1212.5,0.16666666666666666
2018,5,1237.0,0.12903225806451613
2018,6,1260.5,0.125
2018,7,1279.5,0.13636363636363635
2018,8,1304.076923076923,0.038461538461538464
2018,9,1324.1176470588234,0.058823529411764705
2018,10,1341.0,0.2
2019,1,1352.5,0.375
2019,2,1358.5,0.25
2019,3,1377.0,0.15151515151515152
2019,4,1403.5,0.25
2019,5,1431.2058823529412,0.20588235294117646
2019,6,1457.409090909091,0.13636363636363635
2019,7,1480.0,0.14285714285714285
2019,8,1503.0,0.24
2019,9,1524.0,0.17647058823529413
2019,10,1536.5,0.375
2020,1,1544.0,0.14285714285714285
2020,2,1551.0,0.2857142857142857
2020,3,1558.0,0.14285714285714285
2020,8,1571.0,0.21052631578947367
2020,9,1595.6333333333334,0.16666666666666666
2020,10,1631.0975609756097,0.12195121951219512
2020,11,1654.5,0.25
